Category,Item,Age / Gender,Size / Style,Unit,Category Id,Item Id,Unit Id
Boy's Clothing,Pants (Underwear),Boy,,Individual Item,boysClothing,pantsUnderwear,itemIndividual
Boy's Clothing,Socks,Boy,,Individual Item,boysClothing,socks,itemIndividual
Boy's Clothing,Shoes,Boy,,Individual Item,boysClothing,shoes,itemIndividual
Baby Clothing,Jacket / All-In-Ones,Baby,,Individual Item,babyClothing,jacketAllInOnes,itemIndividual
Baby Clothing,Jumper,Baby,,Individual Item,babyClothing,jumper,itemIndividual
Baby Clothing,T-Shirt,Baby,,Individual Item,babyClothing,tShirt,itemIndividual
Baby Clothing,Shorts,Baby,,Individual Item,babyClothing,shorts,itemIndividual
Baby Clothing,Trousers,Baby,,Individual Item,babyClothing,trousers,itemIndividual
Baby Clothing,Socks,Baby,,Individual Item,babyClothing,socks,itemIndividual
Baby Clothing,Shoes,Baby,,Individual Item,babyClothing,shoes,itemIndividual
Baby Clothing,Bodies / Rompers,Baby,,Individual Item,babyClothing,bodiesRompers,itemIndividual
Baby Clothing,Onsies / Pyjamas,Baby,,Individual Item,babyClothing,onsiesPyjamas,itemIndividual
